BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
195804,3,1215,195804,3,1215,,9980868,ARKANSAS,5,1958,April,Tornado,C,129,SEARCY,,03-APR-58 12:15:00,CST,03-APR-58 12:15:00,0,0,0,0,250K,0,,0,,,,F2,0,33,,,,,0,,,0,,,35.90,-92.60,,,,,PUB
195804,20,1500,195804,20,1500,,9980871,ARKANSAS,5,1958,April,Tornado,C,43,DREW,,20-APR-58 15:00:00,CST,20-APR-58 15:00:00,0,0,0,0,.03K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.77,-91.47,,,,,PUB
195807,5,1500,195807,5,1500,,9980882,ARKANSAS,5,1958,July,Tornado,C,67,JACKSON,,05-JUL-58 15:00:00,CST,05-JUL-58 15:00:00,0,0,0,0,.03K,0,,0,,,,F0,0,33,,,,,0,,,0,,,35.62,-91.27,,,,,PUB
195809,16,1630,195809,16,1630,,9980891,ARKANSAS,5,1958,September,Tornado,C,123,ST. FRANCIS,,16-SEP-58 16:30:00,CST,16-SEP-58 16:30:00,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,34.95,-91.12,,,,,PUB
195811,14,1900,195811,14,1900,,9980892,ARKANSAS,5,1958,November,Tornado,C,29,CONWAY,,14-NOV-58 19:00:00,CST,14-NOV-58 19:00:00,0,0,0,0,25K,0,,0,,,,F1,10,33,,,,,0,,,0,,,35.28,-92.83,35.23,-92.67,,,PUB
195811,15,1545,195811,15,1545,,9980895,ARKANSAS,5,1958,November,Tornado,C,23,CLEBURNE,,15-NOV-58 15:45:00,CST,15-NOV-58 15:45:00,0,0,0,0,2.5K,0,,0,,,,F1,.5,10,,,,,0,,,0,,,35.40,-92.03,,,,,PUB
195811,17,1430,195811,17,1430,,9980896,ARKANSAS,5,1958,November,Tornado,C,59,HOT SPRING,,17-NOV-58 14:30:00,CST,17-NOV-58 14:30:00,0,0,0,0,25K,0,,0,,,,F2,8.6,33,,,,,0,,,0,,,34.32,-93.30,34.32,-93.15,,,PUB
196109,12,1500,196109,12,1500,,9982506,ARKANSAS,5,1961,September,Tornado,C,139,UNION,,12-SEP-61 15:00:00,CST,12-SEP-61 15:00:00,0,0,0,0,25K,0,,0,,,,F2,3,33,,,,,0,,,0,,,33.00,-92.65,33.02,-92.62,,,PUB
196111,2,920,196111,2,920,,9982507,ARKANSAS,5,1961,November,Tornado,C,83,LOGAN,,02-NOV-61 09:20:00,CST,02-NOV-61 09:20:00,0,0,0,0,2.5K,0,,0,,,,F2,1.5,100,,,,,0,,,0,,,35.30,-93.70,,,,,PUB
196111,2,1415,196111,2,1415,,9982508,ARKANSAS,5,1961,November,Tornado,C,139,UNION,,02-NOV-61 14:15:00,CST,02-NOV-61 14:15:00,0,0,0,0,0K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.20,-92.65,,,,,PUB
196111,22,1330,196111,22,1330,,9982509,ARKANSAS,5,1961,November,Tornado,C,11,BRADLEY,,22-NOV-61 13:30:00,CST,22-NOV-61 13:30:00,0,0,0,0,0K,0,,0,,,,,.3,250,,,,,0,,,0,,,33.60,-92.02,,,,,PUB
196103,5,1600,196103,5,1600,,9982067,ARKANSAS,5,1961,March,Tornado,C,67,JACKSON,,05-MAR-61 16:00:00,CST,05-MAR-61 16:00:00,0,0,0,0,25K,0,,0,,,,F2,30,33,,,,,0,,,0,,,35.40,-91.23,35.72,-90.87,,,PUB
196103,5,1605,196103,5,1605,,9982068,ARKANSAS,5,1961,March,Tornado,C,85,LONOKE,,05-MAR-61 16:05:00,CST,05-MAR-61 16:05:00,0,0,0,0,25K,0,,0,,,,F1,2.3,417,,,,,0,,,0,,,34.78,-91.70,34.82,-91.70,,,PUB
196103,12,1600,196103,12,1600,,9981359,ARKANSAS,5,1961,March,Tornado,C,7,BENTON,,12-MAR-61 16:00:00,CST,12-MAR-61 16:00:00,0,0,0,0,25K,0,,0,,,,F1,3.3,33,,,,,0,,,0,,,36.45,-93.98,36.48,-93.93,,,PUB
196103,12,1645,196103,12,1645,,9981360,ARKANSAS,5,1961,March,Tornado,C,113,POLK,,12-MAR-61 16:45:00,CST,12-MAR-61 16:45:00,0,0,0,0,25K,0,,0,,,,F2,13.2,200,,,,,0,,,0,,,34.58,-94.08,34.70,-93.90,,,PUB
196103,12,1715,196103,12,1715,,9981361,ARKANSAS,5,1961,March,Tornado,C,15,CARROLL,,12-MAR-61 17:15:00,CST,12-MAR-61 17:15:00,14,0,0,0,25K,0,,0,,,,F2,1,300,,,,,0,,,0,,,36.48,-93.80,,,,,PUB
196103,12,1730,196103,12,1730,,9981362,ARKANSAS,5,1961,March,Tornado,C,71,JOHNSON,,12-MAR-61 17:30:00,CST,12-MAR-61 17:30:00,14,0,1,0,250K,0,,0,,,,F2,26.9,17,,,,,0,,,0,,,35.47,-93.80,35.63,-93.37,,,PUB
196103,12,1740,196103,12,1740,,9981363,ARKANSAS,5,1961,March,Tornado,C,47,FRANKLIN,,12-MAR-61 17:40:00,CST,12-MAR-61 17:40:00,4,0,0,0,250K,0,,0,,,,F2,1.9,17,,,,,0,,,0,,,35.45,-93.75,35.47,-93.72,,,PUB
